store,item,amount
WAL*MART t,OPEN 24 HOURS,$24.00
WAL*MART t,_ DISCOUNT GIVEN,$0.57
WAL*MART t,.,$0.00
WAL*MART t,y a . CHANGE DUE,$5.89
WAL*MART t,Total,$30.46
WAL*MART t,Receipt_Total,$5.11
TRADER JOE’S,R-CUCUMBERS PERSIAN 1 LB,$1.99
TRADER JOE’S,TOMATOES CRUSHED NO SALT,$1.59
TRADER JOE’S,TOMATOES WHOLE NO SALT W/BASIL,$1.59
TRADER JOE’S,ORGANIC OLO FASHTUNED OATMEAL,$2.69
TRADER JOE’S,MINI-PEARL TOMATOES. .,$2.49
TRADER JOE’S,SHREDDED MOZZARELLA Live T,$3.99
TRADER JOE’S,PKG,$3.79
TRADER JOE’S,rege 1 P02 ORGANIC,$0.00
TRADER JOE’S,item,$0.89
TRADER JOE’S,BEANS wARBANZO,$2.35
TRADER JOE’S,avucalics HASS Bau 4a,$3.99
TRADER JOE’S,&,$2.59
TRADER JOE’S,A APPLE Bau JAZC 7 iB,$7.00
TRADER JOE’S,UREAMY UAL LL BEANE orl ee,$2.45
TRADER JOE’S,WHT PLTA BRE AL,$1.65
TRADER JOE’S,WHE 1 3b,$1.00
TRADER JOE’S,item,$36.08
TRADER JOE’S,CASH,$1.32
TRADER JOE’S,ww. trader joes,$0.00
TRADER JOE’S,Total,$77.45
TRADER JOE’S,Receipt_Total,$0.00
Give us feedback @ survey.walmart.com eg,951 AVENIDA PICO ro,$951.00
Give us feedback @ survey.walmart.com eg,a ST# 02527 OP#  TE# 45 TRH 06193 E-,$45.00
Give us feedback @ survey.walmart.com eg,TAX 1 7.750 % 3.46 oe he,$3.46
Give us feedback @ survey.walmart.com eg,DEBIT TEND 49.90 A!,$49.90
Give us feedback @ survey.walmart.com eg,. CHANGE DUE 0.00 ae,$0.00
Give us feedback @ survey.walmart.com eg,f PEF (a US DEBIT Rxxx xxxx xxxx 9689 I 0 encnaiee,$0.00
Give us feedback @ survey.walmart.com eg,eee # ITEMS SOLD 4 ate rns,$4.00
Give us feedback @ survey.walmart.com eg,ae am Join today at walmart.com/plus eo,$0.00
Give us feedback @ survey.walmart.com eg,Total,$1053.36
Give us feedback @ survey.walmart.com eg,Receipt_Total,$49.90
See back of,"to win $1009 rec TO"" gat va jour chance",$1009.00
See back of,TATER OTs “oo13iz000026 F 2.96 O,$2.96
See back of,F,$0.88
See back of,GALE ooooc0000003K §=—= 32.00 T,$32.00
See back of,WAS 4.54 YOU SAVED,$0.64
See back of,TAX 1 7.000% 4:88,$7.00
See back of,CASH TEND,$160.02
See back of,CHANGE DUE,$6.00
See back of,& ITEMS SOLD,$26.00
See back of,ETE UA A A 1 i,$1.00
See back of,Total,$1245.50
See back of,Receipt_Total,$144.02
ais,almart,$2.00
ais,231 BLUEBELL DR SW,$231.00
ais,ST# 02115 OP#  TE# 44 TR# 01301,$44.00
ais,TAX 1 6.750 %,$4.59
ais,US DEBIT seee even eevee 9166 I,$0.00
ais,CHANGE DUE,$0.00
ais,# ITEMS SOLD,$25.00
ais,Total,$306.59
ais,Receipt_Total,$98.21
us feedback @ survey wa:mart.com,ST# 04339 OPH  TEH 43 TRH 08545,$43.00
us feedback @ survey wa:mart.com,VINYL GLOVES (pTOr,$32.89
us feedback @ survey wa:mart.com,max 1 8-977oTm,$0.54
us feedback @ survey wa:mart.com,CHANGE DUE 0.00 -,$0.00
us feedback @ survey wa:mart.com,# ITEMS SOLD,$5.00
us feedback @ survey wa:mart.com,08/1 2h 21 TOMER 11:36:18,$21.00
us feedback @ survey wa:mart.com,Total,$102.43
‘ TRADER JOE'S,HARVEST BREAD,$1.99
‘ TRADER JOE'S,PASTA WHOLE WHEAT PENNE ORGANI,$1.49
‘ TRADER JOE'S,BANANAS,$2.28
‘ TRADER JOE'S,MILK HALF GAL ALMOND UNSWEETEN,$2.99
‘ TRADER JOE'S,A-LEMON BAG 1 LB,$1.49
‘ TRADER JOE'S,R-CARROTS CUT & PEELED ORGANIC,$1.49
‘ TRADER JOE'S,R-STRAWBERRIES ORG 1 LB,$3.49
‘ TRADER JOE'S,A-AVOCADOS HASS BAG 4CT,$2.99
‘ TRADER JOE'S,UNSALTED BUTTER QUARTERS.,$3.19
‘ TRADER JOE'S,TJ'S STRING CHEESE,$3.99
‘ TRADER JOE'S,VEG BROCCOLI FLORETS ORGANIC,$2.49
‘ TRADER JOE'S,LENTILS RED SPLIT,$1.69
‘ TRADER JOE'S,R-SALAD ORGANIC BABY SPINACH 6,$1.99
‘ TRADER JOE'S,TJ'S HONEY NUT O'S CEREAL,$2.49
‘ TRADER JOE'S,TJ'S BNLS SNLS CHICKEN BREASTS,$4.22
‘ TRADER JOE'S,A-APPLE BAG JAZZ 2 LB,$2.69
‘ TRADER JOE'S,A-POTATO BAG SWEET 2 LB,$1.79
‘ TRADER JOE'S,R-HERB CILANTRO BUNCH,$0.99
‘ TRADER JOE'S,BEANS BLACK,$3.56
‘ TRADER JOE'S,item,$357.78
‘ TRADER JOE'S,HUMMUS 7 0Z,$1.99
‘ TRADER JOE'S,GROUND TURKEY,$2.99
‘ TRADER JOE'S,SWEET ITALIAN CKN SAUSAGE,$3.99
‘ TRADER JOE'S,TJ'S HONEY NUT O'S CEREAL,$2.49
‘ TRADER JOE'S,HARVEST BREAD,$1.99
‘ TRADER JOE'S,Total,$418.53
‘ TRADER JOE'S,Receipt_Total,$84.04
